Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/279320/Show/Luis-Milla,Luis Milla,https://www.whoscored.com/Teams/819/Show/Spain-Getafe,"Getafe, ",29,",  DMC  ",25(2),2124	,-	,1	,6	,-	,0.6	,84.1	,1	,-	,6.68
https://www.whoscored.com/Players/422959/Show/Isi-Palaz%C3%B3n,Isi Palazón,https://www.whoscored.com/Teams/64/Show/Spain-Rayo-Vallecano,"Rayo Vallecano, ",29,",  AM(CR)  ",34(3),2810	,4	,1	,8	,-	,1.9	,74.9	,1.1	,1	,6.68
https://www.whoscored.com/Players/367180/Show/Thierry-Correia,Thierry Correia,https://www.whoscored.com/Teams/55/Show/Spain-Valencia,"Valencia, ",25,",  D(R),M(R)  ",25(6),2162	,-	,2	,4	,1	,0.2	,76.3	,0.5	,-	,6.68
https://www.whoscored.com/Players/400237/Show/Robert-Navarro,Robert Navarro,https://www.whoscored.com/Teams/1354/Show/Spain-Cadiz,"Cadiz, ",22,",  AM(LR)  ",24(4),1906	,1	,1	,-	,1	,1.1	,79.3	,0.4	,2	,6.68
https://www.whoscored.com/Players/391562/Show/Sam%C3%BA-Costa,Samú Costa,https://www.whoscored.com/Teams/51/Show/Spain-Mallorca,"Mallorca, ",23,",  DMC  ",26(8),2307	,1	,1	,8	,-	,0.6	,77.8	,1.8	,-	,6.68
https://www.whoscored.com/Players/422820/Show/Jes%C3%BAs-Areso,Jesús Areso,https://www.whoscored.com/Teams/131/Show/Spain-Osasuna,"Osasuna, ",25,",  D(R)  ",29(8),2663	,1	,6	,3	,-	,0.2	,80.6	,0.8	,-	,6.66
https://www.whoscored.com/Players/104010/Show/Antonio-R%C3%BCdiger,Antonio Rüdiger,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",31,",  D(CLR)  ",30(3),2708	,1	,-	,7	,-	,0.6	,90	,1.5	,-	,6.66
https://www.whoscored.com/Players/118479/Show/Rub%C3%A9n-Pe%C3%B1a,Rubén Peña,https://www.whoscored.com/Teams/131/Show/Spain-Osasuna,"Osasuna, ",32,",  D(LR),M(LR),FW  ",26(3),2105	,-	,2	,3	,-	,0.6	,71.8	,0.5	,4	,6.66
https://www.whoscored.com/Players/397469/Show/%C3%93scar-Mingueza,Óscar Mingueza,https://www.whoscored.com/Teams/62/Show/Spain-Celta-Vigo,"Celta Vigo, ",25,",  D(CR),M(R)  ",33(5),3004	,2	,2	,4	,-	,0.7	,80.9	,0.4	,3	,6.66
https://www.whoscored.com/Players/362356/Show/Chris-Ramos,Chris Ramos,https://www.whoscored.com/Teams/1354/Show/Spain-Cadiz,"Cadiz, ",27,",  FW  ",30(7),2627	,5	,1	,5	,-	,2.1	,57.6	,4.7	,2	,6.66
