Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Frank Anguissa,"Napoli, ",28,",  M(C)  ",32(2),2792	,2	,1.1	,53	,88	,0.2	,1.1	,0.1	,6.72
Leandro Paredes,"Roma, ",30,",  DMC  ",32(2),2646	,5	,0.8	,59.8	,90.9	,0.6	,3.9	,-	,6.72
Wladimiro Falcone,"Lecce, ",29,",  GK  ",38,3420	,-	,-	,25.8	,63	,-	,4.8	,-	,6.71
Josep Martínez,"Genoa, ",26,",  GK  ",36,3240	,-	,-	,36.6	,69.2	,-	,8.3	,-	,6.71
Piotr Zielinski,"Napoli, ",30,",  M(CLR)  ",23(5),1939	,2	,1.7	,41.3	,87.5	,0.8	,1.4	,0.1	,6.71
Wojciech Szczesny,"Juventus, ",34,",  GK  ",35,3150	,-	,-	,24.8	,74.7	,-	,5.8	,-	,6.70
Nehuén Pérez,"Udinese, ",24,",  D(C)  ",36,3240	,-	,0.2	,40.8	,80.3	,0.1	,3.3	,-	,6.70
Matteo Darmian,"Inter, ",34,",  D(CLR),M(LR)  ",27(6),2417	,1	,0.7	,37.3	,85.6	,0.3	,1.5	,0.1	,6.69
Carlos Augusto,"Inter, ",25,",  D(CL),M(L)  ",14(23),1705	,3	,0.5	,25.9	,87.5	,0.3	,0.9	,-	,6.69
Denzel Dumfries,"Inter, ",28,",  D(R),M(R)  ",19(12),1643	,4	,0.9	,19.8	,80.9	,0.5	,0.4	,-	,6.69
Alfred Duncan,"Fiorentina, ",31,",  DMC  ",24(6),1899	,5	,1.2	,31.8	,81.1	,0.7	,2.5	,0.1	,6.69
Filip Kostic,"Juventus, ",31,",  M(LR),FW  ",26(3),1834	,4	,1.4	,24.8	,80.6	,1.6	,0.9	,-	,6.69
Diego Coppola,"Verona, ",20,",  D(C)  ",18(6),1636	,-	,0.2	,29.8	,77.5	,-	,2.3	,-	,6.69
Andrea Carboni,"Monza, ",23,",  D(CL)  ",16(5),1490	,-	,0.4	,43.9	,86.9	,0.2	,1.9	,-	,6.68
Simone Romagnoli,"Frosinone, ",34,",  D(C)  ",30(3),2716	,1	,0.1	,43	,86	,-	,1.4	,-	,6.68
Milan Badelj,"Genoa, ",35,",  M(C)  ",32(1),2555	,3	,0.5	,41.8	,81.4	,0.2	,2.2	,-	,6.68
Alessandro Florenzi,"AC Milan, ",33,",  D(LR),M(CLR)  ",19(12),1732	,4	,1.5	,33.8	,87.5	,1.5	,2.5	,-	,6.68
Antonio Candreva,"Salernitana, ",37,",  M(CLR)  ",32(2),2760	,6	,1.8	,33.6	,81.7	,1.5	,2.1	,-	,6.68
Arthur,"Fiorentina, ",27,",  DMC  ",23(10),1998	,3	,1	,44.4	,92.1	,0.3	,2.8	,0.1	,6.67
Roberto Gagliardini,"Monza, ",30,",  DMC  ",29(4),2368	,2	,0.6	,44.5	,90.6	,-	,2	,-	,6.67
Federico Gatti,"Juventus, ",26,",  D(C)  ",30(2),2641	,-	,0.3	,40.6	,86.1	,0.2	,2.3	,-	,6.67
Fabiano Parisi,"Fiorentina, ",23,",  D(LR)  ",16(5),1454	,1	,0.8	,39.7	,85.6	,0.3	,2	,-	,6.66
Lukasz Skorupski,"Bologna, ",33,",  GK  ",32,2880	,-	,-	,27.5	,75.5	,-	,4.7	,-	,6.66
Lorenzo Montipò,"Verona, ",28,",  GK  ",37,3330	,1	,-	,31.2	,58.3	,-	,9.8	,-	,6.65
Nikola Milenkovic,"Fiorentina, ",26,",  D(CR)  ",27(7),2506	,-	,0.2	,46.4	,84.8	,-	,3.1	,-	,6.65
Tomás Suslov,"Verona, ",22,",  M(CLR)  ",23(9),2099	,5	,0.9	,15.3	,79.1	,0.7	,1.3	,-	,6.65
Mateo Retegui,"Genoa, ",25,",  FW  ",26(3),2226	,2	,0.4	,13.3	,68.4	,-	,0.1	,-	,6.65
Evan Ndicka,"Roma, ",24,",  D(CL)  ",25,2171	,3	,0.2	,62.7	,91.1	,0.1	,1.9	,-	,6.65
Giangiacomo Magnani,"Verona, ",28,",  D(C)  ",27(6),2442	,-	,0.2	,29.5	,80.3	,-	,3	,-	,6.64
Valentin Gendrey,"Lecce, ",24,",  D(R)  ",35(2),3052	,3	,0.6	,27	,76.8	,0.2	,1.1	,0.1	,6.64
Remi Oudin,"Lecce, ",27,",  M(CLR),FW  ",21(10),1828	,2	,1.9	,20.2	,69	,1.5	,2	,-	,6.64
Juan Cabal,"Verona, ",23,",  D(L)  ",17(5),1497	,-	,0.5	,27.4	,71.1	,0.3	,1.7	,-	,6.64
Walace,"Udinese, ",29,",  DMC  ",37,3245	,-	,0.6	,38.4	,80.4	,-	,2.3	,0.1	,6.64
Andrea Cambiaso,"Juventus, ",24,",  D(LR),M(LR)  ",28(6),2389	,3	,1.1	,30.9	,87.6	,0.6	,1.1	,-	,6.64
Ricardo Rodríguez,"Torino, ",31,",  D(CL),M(L)  ",34(1),2783	,2	,0.6	,44.7	,85.4	,0.7	,2.2	,-	,6.64
Nicolò Rovella,"Lazio, ",22,",  DMC  ",16(7),1324	,2	,0.4	,41.3	,89	,0.1	,2	,-	,6.64
Victor Kristiansen,"Bologna, ",21,",  D(L)  ",26(6),2312	,3	,0.7	,45	,86.1	,0.3	,1.3	,-	,6.64
Diego Llorente,"Roma, ",30,",  D(C),DMC  ",26(3),2180	,1	,0.1	,56.3	,91.4	,-	,2.4	,-	,6.64
Ondrej Duda,"Verona, ",29,",  M(C),FW  ",29(3),2465	,4	,1.7	,34.6	,78.6	,1	,2.7	,0.1	,6.63
Davide Calabria,"AC Milan, ",27,",  D(LR),M(R)  ",26(3),2196	,3	,0.4	,44.8	,87	,0.5	,1.4	,-	,6.63
Nicolas Viola,"Cagliari, ",34,",  M(C)  ",11(15),1203	,2	,1.3	,16.2	,74.3	,1.7	,0.7	,-	,6.63
Thomas Thiesson Kristensen,"Udinese, ",22,",  D(C)  ",23(3),2097	,1	,0.2	,29.3	,79.5	,-	,2	,-	,6.63
Michael Folorunsho,"Verona, ",26,",  M(C)  ",33(1),2794	,1	,0.5	,21.1	,64.8	,0.3	,1	,-	,6.63
Emil Holm,"Atalanta, ",24,",  M(R)  ",12(10),950	,1	,0.2	,15	,69	,0.3	,0.4	,-	,6.63
Nikola Vlasic,"Torino, ",26,",  AM(CLR),FW  ",30(3),2615	,2	,1.1	,28.9	,82.9	,0.4	,0.6	,0.1	,6.62
Daichi Kamada,"Lazio, ",27,",  AM(CLR),FW  ",17(12),1546	,2	,0.8	,31.2	,89	,-	,0.9	,0.1	,6.62
Gianluca Mancini,"Roma, ",28,",  D(C),DMC  ",34(2),2874	,1	,0.3	,54.9	,87.8	,0.1	,2.5	,-	,6.62
Matteo Pessina,"Monza, ",27,",  M(CR)  ",37,3228	,3	,0.7	,57.5	,89	,0.2	,2.1	,-	,6.61
Stanislav Lobotka,"Napoli, ",29,",  DMC  ",38,3295	,1	,0.6	,59.7	,91.7	,-	,2.2	,-	,6.61
