Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Marvin Senaya,"Strasbourg, ",23,",  D(R),M(R)  ",23(9),2141	,1	,0.7	,26.8	,81.7	,0.7	,1.3	,-	,6.77
Arthur Desmas,"Le Havre, ",30,",  GK  ",33,2970	,-	,-	,24.4	,59.1	,-	,5.5	,-	,6.77
Gabriel Suazo,"Toulouse, ",26,",  D(L),M(L)  ",27(4),2363	,4	,1.4	,38.3	,81.8	,0.8	,1.3	,0.1	,6.77
Yunis Abdelhamid,"Reims, ",36,",  D(C)  ",31,2782	,-	,0.2	,57.9	,85.2	,-	,2.9	,-	,6.77
Mostafa Mohamed,"Nantes, ",26,",  FW  ",24(5),2018	,2	,0.8	,12.1	,66.1	,0.1	,0.3	,0.1	,6.76
Arthur Theate,"Rennes, ",24,",  D(CL)  ",27(1),2300	,-	,0.2	,57.3	,88.5	,0.1	,2.9	,-	,6.76
David Pereira da Costa,"Lens, ",23,",  AM(CL)  ",17(8),1498	,2	,1	,25.6	,85	,0.9	,0.9	,-	,6.76
Kiki Kouyaté,"Montpellier, ",27,",  D(C)  ",22(1),1930	,2	,0.2	,37.7	,82.7	,-	,2.4	,-	,6.76
Clinton Mata,"Lyon, ",31,",  D(CR),M(R)  ",25(3),2222	,3	,0.5	,46.9	,86.1	,0.5	,1.7	,-	,6.75
Martín Satriano,"Brest, ",23,",  FW  ",21(12),1871	,4	,0.6	,13.3	,72.4	,0.1	,0.8	,-	,6.75
Arouna Sangante,"Le Havre, ",22,",  D(CR)  ",30,2690	,-	,0.6	,45.4	,81.9	,0.1	,4.1	,-	,6.75
Muhammed Cham,"Clermont Foot, ",23,",  AM(C),FW  ",29(4),2563	,4	,1.5	,36	,85.7	,0.8	,1.4	,0.1	,6.75
Chancel Mbemba,"Marseille, ",29,",  D(CLR),DMC  ",25,2209	,2	,0.3	,54.5	,88.2	,0.1	,3.1	,-	,6.75
Marco Bizot,"Brest, ",33,",  GK  ",32,2878	,-	,0.1	,30.1	,72	,-	,7.8	,-	,6.74
Leny Yoro,"Lille, ",18,",  D(C)  ",30(2),2672	,-	,0.1	,58.6	,92.2	,-	,2.5	,-	,6.74
Issiaga Sylla,"Montpellier, ",30,",  D(LR),M(L)  ",17(2),1457	,2	,0.8	,27.9	,75.1	,0.5	,1.3	,-	,6.74
Neil El Aynaoui,"Lens, ",23,",  M(C)  ",17(8),1567	,2	,0.6	,26.4	,86.7	,0.1	,0.4	,0.1	,6.74
Amine Harit,"Marseille, ",27,",  AM(CLR),FW  ",21(7),1829	,2	,1.4	,32.4	,87.1	,0.4	,0.7	,0.1	,6.73
Ismaïla Sarr,"Marseille, ",26,",  AM(CLR),FW  ",15(8),1449	,4	,0.9	,19.1	,80.9	,0.3	,0.2	,-	,6.73
Marcin Bulka,"Nice, ",24,",  GK  ",34,3060	,-	,-	,31.6	,84.2	,-	,3.6	,-	,6.73
Mohamed Daramy,"Reims, ",22,",  AM(L),FW  ",19(6),1657	,5	,0.9	,19.9	,77.7	,0.1	,0.4	,0.2	,6.73
Lamine Camara,"Metz, ",20,",  M(C)  ",26(5),2266	,4	,1.3	,27.7	,79.3	,1	,2.8	,-	,6.73
Mousa Al Ta'mari,"Montpellier, ",27,",  M(LR),FW  ",24(3),1943	,2	,0.7	,18.9	,76.2	,-	,0.3	,0.1	,6.73
Guillermo Maripán,"Monaco, ",30,",  D(C)  ",21(2),1769	,-	,0.2	,45.6	,88.7	,-	,2	,-	,6.72
Enzo Le Fée,"Rennes, ",24,",  M(CLR)  ",19(6),1537	,1	,1.1	,40.5	,87.2	,0.4	,1.9	,0.1	,6.72
Ernest Nuamah,"Lyon, ",20,",  AM(R)  ",21(8),1849	,2	,1	,21.1	,83.8	,0.7	,0.9	,-	,6.71
Morgan Sanson,"Nice, ",29,",  M(CLR)  ",24(5),1978	,3	,1.5	,24.6	,84.1	,1	,1	,0.1	,6.71
Jonathan Gradit,"Lens, ",31,",  D(CR)  ",26,2122	,-	,0.2	,52.3	,86.5	,0.1	,2.8	,-	,6.71
