Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_x,Blocks,OwnG,KeyP,Drb_y,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB,Value
https://www.whoscored.com/Players/291937/Show/Florian-Grillitsch,Florian Grillitsch,https://www.whoscored.com/Teams/1211/Show/Germany-Hoffenheim,"Hoffenheim, ",28,",  D(C),M(CL)  ",25(5),2297,1	,6	,8	,-	,0.7	,86.0,1.1	,-	,6.81,1.8	,1.7	,0.9	,0.4	,2.9	,1.1	,0.7	,-	,0.6	,0.4	,0.8	,-	,0.4	,0.4	,57.5,0.2	,3.5	,0.1	,€6.50m  
https://www.whoscored.com/Players/379228/Show/Abner-Vin%C3%ADcius,Abner Vinícius,https://www.whoscored.com/Teams/54/Show/Spain-Real-Betis,"Real Betis, ",24,",  D(L),M(L)  ",15(8),1398,-	,1	,3	,-	,0.2	,81.0,0.6	,-	,6.41,1.1	,0.7	,0.7	,0.2	,2.1	,0.7	,0.2	,-	,0.3	,0.3	,0.1	,0.1	,0.5	,0.8	,26.5,0.1	,0.9	,-	,€7.00m  
https://www.whoscored.com/Players/90984/Show/Denis-Thomalla,Denis Thomalla,https://www.whoscored.com/Teams/4852/Show/Germany-FC-Heidenheim,"FC Heidenheim, ",31,",  M(CL),FW  ",3(18),435,-	,-	,-	,-	,0.1	,75.9,0.9	,-	,6.18,0.4	,0.2	,0.3	,-	,0.5	,0.3	,0.1	,-	,0.2	,0.1	,0.1	,-	,0.2	,-	,8.9,-	,0.5	,-	,€750k  
https://www.whoscored.com/Players/104257/Show/Arkadiusz-Milik,Arkadiusz Milik,https://www.whoscored.com/Teams/87/Show/Italy-Juventus,"Juventus, ",30,",  AM(C),FW  ",7(25),902,4	,1	,2	,1	,1.2	,81.1,0.8	,1	,6.4,0.3	,0.2	,0.7	,-	,0.1	,0.1	,-	,-	,0.5	,0.2	,0.8	,0.3	,0.4	,0.9	,8.3,-	,0.3	,0.1	,€6.00m  
https://www.whoscored.com/Players/362788/Show/Leonardo-Balerdi,Leonardo Balerdi,https://www.whoscored.com/Teams/249/Show/France-Marseille,"Marseille, ",25,",  D(C)  ",26(1),2275,2	,-	,4	,1	,0.5	,86.5,2.1	,1	,7.0,2.9	,1.9	,0.9	,0.2	,3.1	,0.7	,0.6	,-	,0.2	,0.3	,0.9	,-	,0.4	,0.6	,59.9,-	,3.7	,-	,€20.00m  
https://www.whoscored.com/Players/21541/Show/Mats-Hummels,Mats Hummels,https://www.whoscored.com/Teams/44/Show/Germany-Borussia-Dortmund,"Borussia Dortmund, ",35,",  D(C)  ",20(5),1583,3	,-	,4	,1	,0.6	,89.3,1.6	,2	,6.84,2.1	,1.3	,0.5	,0.6	,3.2	,0.9	,0.4	,-	,0.4	,0.1	,0.4	,-	,0.2	,0.3	,56.4,-	,4.2	,0.1	,€5.00m
https://www.whoscored.com/Players/378482/Show/Lameck-Banda,Lameck Banda,https://www.whoscored.com/Teams/79/Show/Italy-Lecce,"Lecce, ",23,",  AM(L)  ",17(4),1360,2	,4	,5	,1	,2.4	,82.5,0.4	,3	,6.76,1.3	,0.1	,1.5	,-	,0.2	,0.7	,-	,-	,1.1	,2	,1.4	,0.4	,1.4	,2.7	,13.6,0.6	,0.4	,-	,€6.00m  
https://www.whoscored.com/Players/384887/Show/Vitinha,Vitinha,https://www.whoscored.com/Teams/304/Show/France-PSG,"PSG, ",24,",  M(C)  ",23(5),2130,7	,4	,-	,-	,1.6	,91.3,0.1	,1	,7.23,1.4	,0.8	,0.6	,-	,1	,1.1	,0.4	,-	,1.3	,1.1	,0.6	,-	,0.8	,1.1	,64.3,0.3	,2.7	,0.2	,€14.00m  
https://www.whoscored.com/Players/34008/Show/Alexandre-Oukidja,Alexandre Oukidja,https://www.whoscored.com/Teams/314/Show/France-Metz,"Metz, ",35,",  GK  ",34,2988,-	,-	,3	,-	,-	,44.9,0.4	,4	,6.83,0.1	,0.1	,-	,-	,1.4	,-	,-	,-	,-	,0.1	,0.2	,-	,-	,-	,25.7,-	,6.6	,-	,€500k  
https://www.whoscored.com/Players/275698/Show/Adam-Marusic,Adam Marusic,https://www.whoscored.com/Teams/77/Show/Italy-Lazio,"Lazio, ",31,",  D(CLR),M(LR)  ",37,3108,1	,-	,3	,1	,0.2	,84.7,0.9	,1	,6.48,1.2	,0.8	,0.6	,0.1	,1.6	,0.6	,0.2	,-	,0.3	,0.4	,0.3	,0.1	,0.1	,0.6	,41.9,0.3	,1.6	,-	,€5.00m
