Name,Value
Kevin Miranda,€350k  
Giacomo Satalino,€300k  
Antonio Vergara,€300k  
Alessandro Livieri,€300k  
Baldovino Cimino,€300k  
Mouhamadou Sarr,€300k  
Roko Jureskin,€300k  
Luca Maniero,€300k  
Andrea Magrassi,€300k  
Edgaras Dubickas,€300k  
Nicolò Bertola,€300k  
Riccardo Fiamozzi,€300k  
Bright Gyamfi,€300k  
Nicolò Brighenti,€300k  
Hamza El Kaouakibi,€300k  
Andrea Cagnano,€300k  
Birkir Bjarnason,€300k  
Abdoul Guiebre,€300k  
Francesco Bardi,€300k  
Luca Valzania,€300k  
Tobías Reinhart,€300k  
Tommaso Arrigoni,€300k  
Tommy Maistrello,€300k  
Giacomo Poluzzi,€300k  
Raphael Kofler,€300k  
Fabio Lucioni,€300k  
Leonardo Loria,€250k  
Tommaso D'Orazio,€250k  
Antonio Pergreffi,€250k  
Lorenzo Andrenacci,€250k  
Antonio Caracciolo,€250k  
Stefano Pettinari,€250k  
Michele Avella,€250k  
Giacomo Drago,€250k  
Andrea Tessiore,€250k  
Raffaele Pucino,€250k  
Alessandro Salvi,€250k  
Lorenzo Libutti,€250k  
Emmanuele Matino,€200k  
Matteo Ferro,€200k  
Giovanni Corradini,€200k  
Nicola Bellomo,€200k  
Lorenzo Lonardi,€200k  
Matteo Solini,€200k  
Muhamed Varela Djamanca,€200k  
Fabrizio Paghera,€200k  
Luca Cigarini,€200k  
Andrea Masiello,€200k  
Filippo Scaglia,€200k  
Zan Zuzek,€200k  
Alessio Rizza,€200k  
Andrea Beghetto,€200k  
Niccolò Pietra,€150k  
Pietro Candelari,€150k  
Andrea Barberis,€150k  
Andrea Cisco,€150k  
Alex Sposito,€150k  
Andrea Sala,€100k  
Alessandro De Vitis,€100k  
Nicola Ravaglia,€100k  
Filippo Veneran,€100k  
Gian Marco Crespi,€100k  
Gregorio Tanco,€100k  
Elia Tantalocchi,€100k  
Miha Trdan,€75k  
Jahce Novello,€50k  
Andrea Cecchetto,€50k  
Luca Bonadeo,€50k  
Raffaele Cartano,€50k  
Simone Cortese,€50k  
Nuhu Shaibu,€50k  
Alessandro Lai,€50k  
Stefan Alex Dregan,€50k  
Ahmed Sanogo,€50k  
Zylyf Muça,€50k  
Manfredi Nespola,€50k  
Bryan Blanco,€50k  
Edoardo Borrelli,€50k  
Christian Cugnata,€25k  
Dario Saric,€1.80m  
Andrea Bertolacci,€400k  
Dylan Bronn,€1.30m  
Diego Valencia,€1.50m  
Trent Buhagiar,€450k  
Bamba Susso,€200k  
Flavius Daniliuc,€6.00m  
Adrian Rus,€700k  
Salva Ferrer,€500k  
Roko Vukušić,€125k  
Grigoris Kastanos,€1.80m
