Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Nahitan Nández,"Cagliari, ",28,",  D(R),M(CLR)  ",29(4),2357	,2	,3	,0.7	,1.3	,0.8	,1	,0.3	,1.1	,1.2	,6.56
Sam Beukema,"Bologna, ",25,",  D(C)  ",29(1),2550	,1	,1	,0.4	,0.2	,0.1	,0.4	,-	,0.1	,0.2	,6.56
Martín Payero,"Udinese, ",25,",  AM(C)  ",21(8),1801	,2	,2	,1.3	,0.5	,0.8	,1	,-	,0.7	,1.6	,6.56
Sandi Lovric,"Udinese, ",26,",  AM(C)  ",21(8),1990	,1	,3	,1.5	,1.5	,0.6	,0.8	,-	,0.7	,1	,6.56
Alberto Grassi,"Empoli, ",29,",  DMC  ",22(5),1815	,-	,1	,0.9	,0.2	,0.2	,1.2	,-	,0.3	,0.5	,6.56
Nicolò Cambiaghi,"Empoli, ",23,",  AM(CLR),FW  ",29(8),2564	,1	,1	,1.9	,0.8	,0.8	,2.1	,0.1	,1	,1.6	,6.55
Ardian Ismajli,"Empoli, ",27,",  D(C)  ",23(3),2046	,-	,-	,0.2	,0.2	,-	,0.6	,-	,-	,0.4	,6.55
Simon Kjær,"AC Milan, ",35,",  D(C)  ",14(6),1172	,-	,1	,0.3	,0.2	,-	,0.1	,-	,0.1	,0.2	,6.55
Dany Mota,"Monza, ",26,",  AM(CL),FW  ",24(10),2060	,4	,3	,1.1	,1	,0.5	,0.8	,0.2	,0.9	,1.3	,6.55
Patric,"Lazio, ",31,",  D(CR),M(R)  ",19(1),1610	,2	,-	,0.3	,0.2	,-	,0.3	,-	,-	,0.2	,6.55
Dan Ndoye,"Bologna, ",23,",  M(LR)  ",20(12),1776	,1	,1	,1.3	,0.7	,1.1	,1.8	,0.2	,0.8	,1.8	,6.55
Ruslan Malinovskyi,"Genoa, ",31,",  M(CLR),FW  ",18(10),1550	,4	,1	,1.4	,0.4	,0.4	,0.6	,-	,0.8	,0.8	,6.54
Giacomo Raspadori,"Napoli, ",24,",  AM(CL),FW  ",14(23),1574	,5	,3	,1.6	,1	,0.4	,0.5	,0.1	,0.5	,0.9	,6.54
Roberto Pereyra,"Udinese, ",33,",  M(CLR),FW  ",22(5),1865	,4	,3	,1	,0.9	,0.6	,1.2	,0.2	,1	,1.7	,6.54
Matías Vecino,"Lazio, ",32,",  M(C)  ",8(23),1136	,6	,1	,1.1	,0.2	,0.3	,0.2	,0.1	,-	,0.6	,6.54
Tommaso Augello,"Cagliari, ",29,",  D(L),M(L)  ",28(4),2432	,1	,1	,0.3	,0.8	,0.5	,0.4	,-	,0.3	,0.7	,6.54
Enzo Barrenechea,"Frosinone, ",23,",  DMC  ",32(4),2819	,-	,1	,0.6	,0.7	,0.2	,1.4	,-	,0.4	,0.6	,6.54
Giovanni Fabbian,"Bologna, ",21,",  AM(C)  ",11(16),1054	,5	,2	,1	,0.6	,0.4	,0.7	,0.1	,0.5	,0.8	,6.54
Alexis Sánchez,"Inter, ",35,",  M(CLR),FW  ",6(17),752	,2	,5	,0.8	,0.8	,0.5	,0.8	,0.3	,0.7	,1	,6.54
