Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/77440/Show/Oliver-Baumann,Oliver Baumann,https://www.whoscored.com/Teams/1211/Show/Germany-Hoffenheim,"Hoffenheim, ",34,",  GK  ",34,3060	,-	,1	,1	,-	,-	,71.7	,0.2	,1	,6.92
https://www.whoscored.com/Players/121192/Show/Vincenzo-Grifo,Vincenzo Grifo,https://www.whoscored.com/Teams/50/Show/Germany-Freiburg,"Freiburg, ",31,",  AM(CL)  ",29(3),2347	,8	,8	,3	,-	,1.5	,80.5	,0.4	,2	,6.92
https://www.whoscored.com/Players/384516/Show/Odilon-Kossounou,Odilon Kossounou,https://www.whoscored.com/Teams/36/Show/Germany-Leverkusen,"Leverkusen, ",23,",  D(CR)  ",21(1),1813	,1	,-	,3	,-	,0.2	,89.1	,1	,-	,6.92
https://www.whoscored.com/Players/349932/Show/Noussair-Mazraoui,Noussair Mazraoui,https://www.whoscored.com/Teams/37/Show/Germany-Bayern,"Bayern, ",26,",  D(LR)  ",15(4),1198	,-	,3	,3	,-	,0.6	,89.9	,1	,-	,6.90
https://www.whoscored.com/Players/302588/Show/Bernardo,Bernardo,https://www.whoscored.com/Teams/109/Show/Germany-Bochum,"Bochum, ",29,",  D(CLR),M(L)  ",33,2926	,1	,-	,9	,-	,0.9	,71.1	,4.5	,2	,6.90
https://www.whoscored.com/Players/333227/Show/Marco-Friedl,Marco Friedl,https://www.whoscored.com/Teams/42/Show/Germany-Werder-Bremen,"Werder Bremen, ",26,",  D(CL),M(L)  ",25,2199	,1	,-	,6	,-	,0.3	,86.8	,1.7	,2	,6.90
https://www.whoscored.com/Players/141726/Show/Robin-Gosens,Robin Gosens,https://www.whoscored.com/Teams/796/Show/Germany-Union-Berlin,"Union Berlin, ",30,",  D(L),M(CL)  ",27(3),2300	,6	,3	,7	,1	,1.1	,74.6	,2.1	,2	,6.90
https://www.whoscored.com/Players/369556/Show/Keven-Schlotterbeck,Keven Schlotterbeck,https://www.whoscored.com/Teams/109/Show/Germany-Bochum,"Bochum, ",27,",  D(C)  ",24(3),2184	,5	,1	,9	,-	,1	,79.3	,4.3	,1	,6.89
https://www.whoscored.com/Players/342548/Show/Dan-Axel-Zagadou,Dan-Axel Zagadou,https://www.whoscored.com/Teams/41/Show/Germany-Stuttgart,"Stuttgart, ",25,",  D(CL)  ",16(3),1453	,1	,-	,1	,-	,0.6	,86.7	,3.2	,-	,6.89
https://www.whoscored.com/Players/111212/Show/Emre-Can,Emre Can,https://www.whoscored.com/Teams/44/Show/Germany-Borussia-Dortmund,"Borussia Dortmund, ",30,",  D(CLR),DMC  ",22(3),1956	,2	,2	,5	,-	,0.7	,87.6	,1.2	,1	,6.88
https://www.whoscored.com/Players/41330/Show/Marco-Reus,Marco Reus,https://www.whoscored.com/Teams/44/Show/Germany-Borussia-Dortmund,"Borussia Dortmund, ",35,",  M(CLR),FW  ",18(8),1612	,6	,6	,2	,-	,1.6	,85.9	,0.5	,3	,6.88
https://www.whoscored.com/Players/122140/Show/Robert-Andrich,Robert Andrich,https://www.whoscored.com/Teams/36/Show/Germany-Leverkusen,"Leverkusen, ",29,",  D(C),M(C)  ",18(10),1683	,4	,2	,4	,-	,0.8	,90.8	,0.8	,4	,6.88
https://www.whoscored.com/Players/296983/Show/Timo-H%C3%BCbers,Timo Hübers,https://www.whoscored.com/Teams/282/Show/Germany-FC-Koln,"FC Koln, ",27,",  D(C)  ",31,2779	,-	,-	,6	,-	,0.7	,84.8	,3.3	,2	,6.88
https://www.whoscored.com/Players/343317/Show/Jeff-Chabot,Jeff Chabot,https://www.whoscored.com/Teams/282/Show/Germany-FC-Koln,"FC Koln, ",26,",  D(C)  ",32,2708	,-	,-	,7	,1	,0.6	,84.5	,3.3	,2	,6.88
https://www.whoscored.com/Players/92051/Show/Marcel-Sabitzer,Marcel Sabitzer,https://www.whoscored.com/Teams/44/Show/Germany-Borussia-Dortmund,"Borussia Dortmund, ",30,",  M(CLR),FW  ",23(2),1966	,4	,3	,3	,1	,1.9	,83	,0.2	,1	,6.87
https://www.whoscored.com/Players/115479/Show/Wout-Weghorst,Wout Weghorst,https://www.whoscored.com/Teams/1211/Show/Germany-Hoffenheim,"Hoffenheim, ",31,",  FW  ",24(4),1987	,7	,3	,4	,-	,1.4	,73	,2.3	,2	,6.87
https://www.whoscored.com/Players/37099/Show/Thomas-M%C3%BCller,Thomas Müller,https://www.whoscored.com/Teams/37/Show/Germany-Bayern,"Bayern, ",34,",  M(CLR),FW  ",20(11),1660	,5	,9	,-	,-	,1.2	,78.3	,1	,-	,6.86
https://www.whoscored.com/Players/347884/Show/Atakan-Karazor,Atakan Karazor,https://www.whoscored.com/Teams/41/Show/Germany-Stuttgart,"Stuttgart, ",27,",  D(C),DMC  ",31(2),2630	,-	,4	,9	,-	,0.6	,89.7	,1.4	,1	,6.86
https://www.whoscored.com/Players/104917/Show/Willi-Orb%C3%A1n,Willi Orbán,https://www.whoscored.com/Teams/7614/Show/Germany-RBL,"RBL, ",31,",  D(C)  ",18(1),1583	,-	,-	,2	,-	,0.4	,89.7	,2.8	,-	,6.86
https://www.whoscored.com/Players/280191/Show/Michael-Zetterer,Michael Zetterer,https://www.whoscored.com/Teams/42/Show/Germany-Werder-Bremen,"Werder Bremen, ",28,",  GK  ",27,2430	,-	,-	,2	,-	,-	,76.8	,0.6	,-	,6.85
https://www.whoscored.com/Players/422717/Show/Hiroki-Ito,Hiroki Ito,https://www.whoscored.com/Teams/41/Show/Germany-Stuttgart,"Stuttgart, ",25,",  D(CL)  ",25(1),2232	,-	,2	,1	,-	,0.7	,89.4	,1.2	,-	,6.85
https://www.whoscored.com/Players/301024/Show/Max-W%C3%B6ber,Max Wöber,https://www.whoscored.com/Teams/134/Show/Germany-Borussia-M-Gladbach,"Borussia M.Gladbach, ",26,",  D(CL)  ",24(1),2070	,2	,3	,2	,1	,0.8	,83.8	,1.9	,-	,6.84
https://www.whoscored.com/Players/21541/Show/Mats-Hummels,Mats Hummels,https://www.whoscored.com/Teams/44/Show/Germany-Borussia-Dortmund,"Borussia Dortmund, ",35,",  D(C)  ",20(5),1583	,3	,-	,4	,1	,0.6	,89.3	,1.6	,2	,6.84
https://www.whoscored.com/Players/336028/Show/Gregor-Kobel,Gregor Kobel,https://www.whoscored.com/Teams/44/Show/Germany-Borussia-Dortmund,"Borussia Dortmund, ",26,",  GK  ",27,2366	,-	,-	,1	,-	,-	,81.9	,0.2	,1	,6.84
https://www.whoscored.com/Players/424191/Show/Benjamin-Sesko,Benjamin Sesko,https://www.whoscored.com/Teams/7614/Show/Germany-RBL,"RBL, ",21,",  FW  ",17(14),1532	,14	,2	,-	,-	,1.5	,66.6	,1.2	,2	,6.83
https://www.whoscored.com/Players/363038/Show/Leandro-Barreiro,Leandro Barreiro,https://www.whoscored.com/Teams/219/Show/Germany-Mainz,"Mainz, ",24,",  DMC  ",29(2),2607	,4	,1	,8	,-	,1.2	,73.9	,1.3	,2	,6.83
https://www.whoscored.com/Players/108585/Show/Alassane-Pl%C3%A9a,Alassane Pléa,https://www.whoscored.com/Teams/134/Show/Germany-Borussia-M-Gladbach,"Borussia M.Gladbach, ",31,",  AM(CLR),FW  ",24(3),1914	,7	,4	,1	,-	,2.1	,72.7	,0.6	,2	,6.82
https://www.whoscored.com/Players/471784/Show/Brajan-Gruda,Brajan Gruda,https://www.whoscored.com/Teams/219/Show/Germany-Mainz,"Mainz, ",20,",  AM(C)  ",19(9),1652	,4	,3	,5	,-	,1.1	,71.4	,0.5	,1	,6.82
https://www.whoscored.com/Players/298145/Show/Phillip-Tietz,Phillip Tietz,https://www.whoscored.com/Teams/1730/Show/Germany-Augsburg,"Augsburg, ",27,",  FW  ",31(3),2407	,8	,4	,1	,-	,1.5	,63.4	,3.1	,3	,6.81
https://www.whoscored.com/Players/291937/Show/Florian-Grillitsch,Florian Grillitsch,https://www.whoscored.com/Teams/1211/Show/Germany-Hoffenheim,"Hoffenheim, ",28,",  D(C),M(CL)  ",25(5),2297	,1	,6	,8	,-	,0.7	,86	,1.1	,-	,6.81
https://www.whoscored.com/Players/261246/Show/Kevin-Behrens,Kevin Behrens,https://www.whoscored.com/Teams/796/Show/Germany-Union-Berlin,"Union Berlin, ",33,",  FW  ",14(4),1266	,4	,-	,3	,-	,2.3	,65.5	,5.2	,2	,6.81
https://www.whoscored.com/Players/372855/Show/Mohamed-Simakan,Mohamed Simakan,https://www.whoscored.com/Teams/7614/Show/Germany-RBL,"RBL, ",24,",  D(CR)  ",23(9),2140	,2	,3	,8	,-	,0.9	,86.3	,1.9	,1	,6.79
