Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Christopher Jullien,"Montpellier, ",31,",  D(C)  ",13(7),1222	,1	,-	,0.4	,0.1	,0.1	,0.3	,-	,-	,0.4	,6.65
Angelo Fulgini,"Lens, ",27,",  AM(CLR),FW  ",16(13),1382	,1	,2	,1.6	,1.3	,0.6	,0.9	,-	,1.2	,1.1	,6.64
Youssouf Ndayishimiye,"Nice, ",25,",  D(C),DMC  ",20(3),1715	,-	,-	,0.6	,0.5	,0.5	,0.5	,-	,0.6	,0.6	,6.64
Kamory Doumbia,"Brest, ",21,",  AM(C)  ",7(18),874	,6	,5	,1	,0.5	,0.5	,0.4	,-	,0.7	,1.3	,6.63
Abdoulaye Touré,"Le Havre, ",30,",  DMC  ",27(3),2294	,2	,-	,1.1	,0.4	,1	,1.1	,-	,0.9	,1.2	,6.63
Isaak Touré,"Lorient, ",21,",  D(C)  ",23(1),2053	,1	,1	,0.8	,0.3	,0.5	,0.6	,-	,0.5	,0.7	,6.63
Yehvann Diouf,"Reims, ",24,",  GK  ",34,3060	,-	,-	,-	,-	,0.1	,0.3	,-	,-	,-	,6.62
Philipp Köhn,"Monaco, ",26,",  GK  ",22,1980	,-	,-	,-	,-	,-	,-	,-	,-	,-	,6.62
Eray Cömert,"Nantes, ",26,",  D(C)  ",23(2),1999	,2	,-	,0.4	,0.2	,-	,1	,-	,-	,0.2	,6.62
Formose Mendy,"Lorient, ",23,",  D(C)  ",13(5),1255	,-	,-	,0.4	,0.1	,0.3	,0.6	,-	,0.4	,0.8	,6.62
Geoffrey Kondogbia,"Marseille, ",31,",  D(C),DMC  ",15(11),1458	,-	,-	,0.3	,0.4	,0.3	,1.1	,0.1	,0.5	,0.8	,6.62
Douglas Augusto,"Nantes, ",27,",  DMC  ",22(3),1783	,-	,-	,0.6	,0.7	,0.1	,1	,-	,0.3	,0.6	,6.61
Guela Doué,"Rennes, ",21,",  D(R)  ",13(11),1229	,-	,2	,0.6	,0.7	,0.8	,0.5	,-	,0.6	,0.8	,6.61
Julien Ponceau,"Lorient, ",23,",  AM(C)  ",27(5),2253	,3	,2	,1	,1.1	,1.3	,1.1	,0.2	,1.3	,1.5	,6.61
Alban Lafont,"Nantes, ",25,",  GK  ",28,2497	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.61
Hicham Boudaoui,"Nice, ",24,",  M(CR)  ",17(12),1613	,2	,-	,1	,0.7	,0.8	,1	,-	,0.4	,1.1	,6.61
Adrien Truffert,"Rennes, ",22,",  D(L),M(L)  ",24(6),2146	,1	,2	,0.7	,0.6	,0.8	,0.9	,0.1	,0.8	,1.1	,6.61
Pablo Rosario,"Nice, ",27,",  D(CR),DMC  ",21(9),2004	,-	,-	,0.5	,0.6	,0.4	,0.6	,-	,0.5	,0.9	,6.61
Hugo Magnetti,"Brest, ",26,",  DMC  ",30(3),2355	,2	,-	,1.1	,0.7	,0.8	,0.5	,0.1	,0.5	,0.9	,6.61
Mohamed Bayo,"Le Havre, ",26,",  FW  ",16(6),1394	,5	,1	,2	,0.6	,0.8	,0.6	,0.3	,1.1	,1.6	,6.61
Florent Mollet,"Nantes, ",32,",  AM(CLR)  ",24(5),2091	,4	,4	,2.2	,1.3	,0.4	,0.7	,0.1	,0.5	,1.4	,6.61
Iliman Ndiaye,"Marseille, ",24,",  AM(CLR),FW  ",19(11),1626	,3	,3	,1.2	,0.7	,1.5	,0.9	,0.1	,1.4	,1.4	,6.61
Deiver Machado,"Lens, ",30,",  M(L)  ",13(6),1128	,4	,-	,0.8	,0.7	,0.4	,1.4	,0.1	,0.8	,0.9	,6.60
Habib Diarra,"Strasbourg, ",20,",  AM(CLR)  ",28(3),2314	,3	,1	,1.3	,0.7	,1.1	,1.3	,-	,0.9	,1.2	,6.60
Cristian Cásseres,"Toulouse, ",24,",  M(CR)  ",23(9),1950	,1	,3	,0.5	,0.5	,0.4	,1.1	,-	,0.4	,0.7	,6.59
Jake O'Brien,"Lyon, ",23,",  D(C)  ",27,2370	,4	,2	,0.7	,0.2	,0.3	,0.4	,-	,0.2	,0.3	,6.59
Duje Caleta-Car,"Lyon, ",27,",  D(C)  ",22(2),1992	,-	,-	,0.3	,0.3	,-	,0.2	,-	,-	,0.1	,6.59
Akor Adams,"Montpellier, ",24,",  FW  ",27(5),2264	,8	,1	,2.5	,0.5	,0.4	,0.7	,0.8	,0.9	,2.1	,6.59
