Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Alex Scott,"Bournemouth, ",20,",  M(CR)  ",11(12),1013	,1	,1	,0.7	,1	,0.6	,1.1	,-	,0.5	,0.7	,6.46
Calvin Bassey,"Fulham, ",24,",  D(CL)  ",25(4),2302	,1	,-	,0.2	,-	,0.4	,0.4	,0.1	,0.3	,0.4	,6.46
Álex Moreno,"Aston Villa, ",31,",  D(L),M(L)  ",11(10),1031	,2	,-	,0.4	,0.5	,0.7	,0.8	,0.1	,0.3	,0.7	,6.46
Orel Mangala,"Nottingham Forest, ",26,",  M(C)  ",19(1),1571	,1	,-	,0.5	,0.3	,0.7	,1.1	,-	,0.9	,0.9	,6.45
Wes Foderingham,"Sheff Utd, ",33,",  GK  ",29(1),2648	,-	,-	,-	,-	,0.1	,0.4	,-	,-	,-	,6.45
Jacob Brown,"Luton, ",26,",  M(CLR),FW  ",12(7),1020	,2	,-	,1.4	,0.4	,0.3	,1	,0.3	,1.3	,1.3	,6.45
Jacob Bruun Larsen,"Burnley, ",25,",  AM(CLR),FW  ",16(16),1252	,6	,-	,1.4	,0.8	,0.6	,0.2	,0.3	,0.3	,0.9	,6.45
Joel Ward,"Crystal Palace, ",34,",  D(CLR),DMC,M(R)  ",23(3),1982	,-	,1	,0.4	,0.1	,0.3	,0.2	,-	,0.1	,0.5	,6.45
Sam Johnstone,"Crystal Palace, ",31,",  GK  ",20,1797	,-	,-	,-	,-	,-	,-	,-	,-	,-	,6.44
Mads Roerslev,"Brentford, ",25,",  D(R),M(R)  ",22(12),1985	,1	,2	,0.2	,0.4	,0.3	,0.4	,0.1	,0.4	,0.7	,6.44
Frank Onyeka,"Brentford, ",26,",  DMC  ",11(15),1157	,1	,2	,0.8	,0.5	,0.4	,1.2	,0.2	,0.5	,1.3	,6.43
Milos Kerkez,"Bournemouth, ",20,",  D(L),M(L)  ",22(6),1976	,-	,1	,0.6	,0.4	,0.4	,0.8	,-	,0.4	,1	,6.42
Cameron Archer,"Sheff Utd, ",22,",  FW  ",21(8),1836	,4	,1	,1.4	,0.8	,1	,0.7	,0.4	,1.6	,2.1	,6.42
Nayef Aguerd,"West Ham, ",28,",  D(C)  ",21,1859	,1	,-	,0.7	,0.2	,0.1	,0.3	,-	,0.1	,0.5	,6.42
Bobby De Cordova-Reid,"Fulham, ",31,",  D(R),M(CLR),FW  ",17(16),1428	,6	,2	,1	,0.5	,0.2	,0.8	,0.1	,0.3	,1	,6.41
Mikkel Damsgaard,"Brentford, ",24,",  AM(CL)  ",7(16),834	,-	,2	,0.4	,0.4	,0.4	,0.3	,0.1	,0.3	,0.8	,6.41
Jorginho,"Arsenal, ",32,",  DMC  ",10(14),920	,-	,2	,0.2	,0.4	,0.1	,0.6	,-	,0.2	,0.2	,6.41
Nathan Patterson,"Everton, ",22,",  D(R),M(R)  ",9(11),1000	,-	,2	,0.2	,0.4	,0.4	,0.3	,0.1	,0.3	,1	,6.41
Ashley Young,"Everton, ",39,",  D(LR),M(LR)  ",27(4),2291	,-	,-	,0.4	,0.7	,0.4	,0.8	,-	,0.4	,0.5	,6.40
Lloyd Kelly,"Bournemouth, ",25,",  D(CL)  ",17(6),1558	,-	,1	,0.2	,0.4	,0.1	,0.6	,-	,0.3	,0.9	,6.40
Billy Gilmour,"Brighton, ",23,",  DMC  ",24(6),2126	,-	,1	,0.8	,0.7	,0.3	,1	,-	,0.3	,0.9	,6.39
