Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Jonathan Burkardt,"Mainz, ",23,",  AM(CR),FW  ",18(3),1542	,2	,0.7	,17	,72	,0.4	,0.5	,-	,6.75
Konrad Laimer,"Bayern, ",27,",  D(R),M(CR)  ",18(11),1770	,3	,0.9	,46.1	,90.2	,0.3	,0.8	,0.1	,6.75
Lee Jae-Sung,"Mainz, ",31,",  AM(CLR),FW  ",24(5),2128	,3	,1.1	,25.9	,79.5	,0.1	,0.6	,-	,6.75
Piero Hincapié,"Leverkusen, ",22,",  D(CL),M(L)  ",16(10),1484	,2	,0.2	,53.7	,91.8	,-	,1.5	,-	,6.74
Iago,"Augsburg, ",27,",  D(L),M(L)  ",18(5),1625	,1	,0.7	,25.2	,76.2	,0.9	,1.8	,-	,6.74
Willian Pacho,"Eintracht Frankfurt, ",22,",  D(C)  ",33,2970	,2	,0.2	,68.4	,84.9	,0.1	,2.6	,0.1	,6.74
Rocco Reitz,"Borussia M.Gladbach, ",22,",  M(C)  ",24(10),2142	,3	,0.6	,30.1	,76.2	,0.1	,1.2	,0.1	,6.74
Aleksandar Pavlovic,"Bayern, ",20,",  DMC  ",14(5),1231	,2	,0.6	,49.8	,93.6	,0.5	,2.2	,-	,6.73
Moritz Nicolas,"Borussia M.Gladbach, ",26,",  GK  ",27,2430	,-	,-	,33.7	,74.9	,-	,5.5	,-	,6.73
Tuta,"Eintracht Frankfurt, ",25,",  D(C)  ",30,2608	,2	,0.4	,61.2	,85.1	,0.1	,2.9	,-	,6.73
Eric Martel,"FC Koln, ",22,",  DMC  ",29(1),2464	,1	,0.4	,36.7	,82.5	,0.1	,1	,-	,6.73
Danilho Doekhi,"Union Berlin, ",26,",  D(C)  ",24,2160	,-	,0.2	,38	,80.8	,-	,2.9	,-	,6.72
Maxence Lacroix,"Wolfsburg, ",24,",  D(C)  ",27(1),2365	,1	,0.3	,51.3	,85.2	,0.1	,3.5	,-	,6.71
Romano Schmid,"Werder Bremen, ",24,",  AM(CLR),FW  ",30(3),2617	,6	,1.5	,34.5	,80	,0.8	,1.3	,0.2	,6.71
Ozan Kabak,"Hoffenheim, ",24,",  D(C)  ",28,2293	,1	,0.3	,48.3	,85.5	,0.1	,2	,0.1	,6.71
Manu Koné,"Borussia M.Gladbach, ",23,",  DMC  ",18(4),1567	,-	,1.1	,31	,85.4	,-	,1	,-	,6.70
Ivan Ordets,"Bochum, ",32,",  D(C)  ",21(3),1879	,-	,0.2	,27	,72.8	,-	,1	,-	,6.70
Jan Schöppner,"FC Heidenheim, ",25,",  M(C)  ",23(3),2002	,2	,0.5	,25.4	,67.1	,-	,1.2	,0.1	,6.70
Ko Itakura,"Borussia M.Gladbach, ",27,",  D(C),DMC  ",18(2),1599	,-	,0.3	,45.3	,88.1	,0.1	,1.7	,0.1	,6.70
Jamie Bynoe-Gittens,"Borussia Dortmund, ",19,",  AM(L)  ",14(11),1061	,4	,0.7	,13.8	,80.3	,0.1	,0.2	,-	,6.70
Anthony Caci,"Mainz, ",27,",  D(CLR),M(LR)  ",29(2),2493	,3	,0.8	,41	,77.1	,0.6	,3.5	,-	,6.70
Kevin Müller,"FC Heidenheim, ",33,",  GK  ",34,3060	,-	,-	,38.6	,71.8	,-	,9.4	,-	,6.70
Felix Uduokhai,"Augsburg, ",26,",  D(C)  ",33,2923	,-	,0.3	,49.9	,81.7	,-	,3.1	,-	,6.69
Farès Chaïbi,"Eintracht Frankfurt, ",21,",  AM(CL),FW  ",21(7),1924	,4	,1.8	,25.4	,72.8	,1.7	,1	,-	,6.69
Niels Nkounkou,"Eintracht Frankfurt, ",23,",  D(L),M(L)  ",13(16),1304	,2	,0.6	,23.1	,73.8	,0.3	,1	,0.1	,6.69
Nicolas Höfler,"Freiburg, ",34,",  D(C),DMC  ",26(2),2333	,1	,0.3	,41	,85.7	,-	,1.1	,-	,6.68
Matthijs de Ligt,"Bayern, ",24,",  D(C)  ",16(6),1391	,-	,0.1	,54	,94	,-	,1.8	,-	,6.68
Phillipp Mwene,"Mainz, ",30,",  D(LR),M(LR)  ",23,2004	,2	,1	,28.7	,74.5	,1.1	,1.4	,-	,6.68
Robin Koch,"Eintracht Frankfurt, ",27,",  D(C),DMC  ",31,2740	,-	,0.1	,69.5	,88.2	,-	,2.7	,-	,6.68
Joakim Mæhle,"Wolfsburg, ",27,",  D(LR),M(LR)  ",27(3),2455	,3	,0.7	,41.2	,82.4	,0.4	,1.3	,-	,6.68
Fredrik Jensen,"Augsburg, ",26,",  AM(CLR),FW  ",18(4),1352	,4	,1.5	,17.1	,69.4	,1.3	,0.6	,-	,6.68
Kevin Mbabu,"Augsburg, ",29,",  D(R),M(R)  ",22(3),2049	,2	,0.8	,27.4	,70.9	,1	,1.2	,-	,6.67
Davie Selke,"FC Koln, ",29,",  FW  ",16(3),1274	,-	,0.6	,12.1	,62.9	,-	,-	,-	,6.67
John Anthony Brooks,"Hoffenheim, ",31,",  D(C)  ",18(3),1541	,-	,0.1	,42.3	,83	,0.1	,3.4	,-	,6.67
Matthias Ginter,"Freiburg, ",30,",  D(CR),DMC  ",22(1),1918	,2	,0.2	,52.3	,84.4	,0.1	,2.1	,-	,6.67
