Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/422190/Show/Mohamed-Bayo,Mohamed Bayo,https://www.whoscored.com/Teams/217/Show/France-Le-Havre,"Le Havre, ",26,",  FW  ",16(6),1394	,5	,1	,4	,-	,2	,66.4	,1.6	,1	,6.61
https://www.whoscored.com/Players/114169/Show/Florent-Mollet,Florent Mollet,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",32,",  AM(CLR)  ",24(5),2091	,4	,4	,4	,-	,2.2	,87.2	,0.3	,-	,6.61
https://www.whoscored.com/Players/366116/Show/Iliman-Ndiaye,Iliman Ndiaye,https://www.whoscored.com/Teams/249/Show/France-Marseille,"Marseille, ",24,",  AM(CLR),FW  ",19(11),1626	,3	,3	,-	,1	,1.2	,85.1	,0.2	,1	,6.61
https://www.whoscored.com/Players/416148/Show/Deiver-Machado,Deiver Machado,https://www.whoscored.com/Teams/309/Show/France-Lens,"Lens, ",30,",  M(L)  ",13(6),1128	,4	,-	,4	,-	,0.8	,81.9	,0.6	,1	,6.60
https://www.whoscored.com/Players/422818/Show/Habib-Diarra,Habib Diarra,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,"Strasbourg, ",20,",  AM(CLR)  ",28(3),2314	,3	,1	,3	,-	,1.3	,86.2	,0.5	,1	,6.60
https://www.whoscored.com/Players/360502/Show/Cristian-C%C3%A1sseres,Cristian Cásseres,https://www.whoscored.com/Teams/246/Show/France-Toulouse,"Toulouse, ",24,",  M(CR)  ",23(9),1950	,1	,3	,1	,-	,0.5	,82.5	,0.5	,-	,6.59
https://www.whoscored.com/Players/424495/Show/Jake-O-39-Brien,Jake O'Brien,https://www.whoscored.com/Teams/228/Show/France-Lyon,"Lyon, ",23,",  D(C)  ",27,2370	,4	,2	,4	,1	,0.7	,88.3	,1.6	,-	,6.59
https://www.whoscored.com/Players/251134/Show/Duje-Caleta-Car,Duje Caleta-Car,https://www.whoscored.com/Teams/228/Show/France-Lyon,"Lyon, ",27,",  D(C)  ",22(2),1992	,-	,-	,2	,1	,0.3	,87.3	,2.4	,-	,6.59
https://www.whoscored.com/Players/408616/Show/Akor-Adams,Akor Adams,https://www.whoscored.com/Teams/311/Show/France-Montpellier,"Montpellier, ",24,",  FW  ",27(5),2264	,8	,1	,2	,-	,2.5	,66.4	,1.7	,3	,6.59
https://www.whoscored.com/Players/437775/Show/Junior-Mwanga,Junior Mwanga,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,"Strasbourg, ",21,",  DMC  ",17(5),1458	,1	,1	,3	,-	,0.9	,80.7	,0.6	,-	,6.59
https://www.whoscored.com/Players/248411/Show/Yoann-Salmier,Yoann Salmier,https://www.whoscored.com/Teams/217/Show/France-Le-Havre,"Le Havre, ",31,",  D(CR)  ",18(2),1570	,1	,1	,3	,-	,0.5	,80.6	,1.5	,-	,6.59
https://www.whoscored.com/Players/239806/Show/Jean-Charles-Castelletto,Jean-Charles Castelletto,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",29,",  D(CR)  ",28,2466	,2	,-	,5	,-	,0.4	,86.8	,1.8	,1	,6.58
https://www.whoscored.com/Players/302918/Show/Milan-Skriniar,Milan Skriniar,https://www.whoscored.com/Teams/304/Show/France-PSG,"PSG, ",29,",  D(C)  ",17(7),1625	,-	,-	,1	,-	,0.1	,95.4	,1.1	,-	,6.58
