Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
Rocco Reitz,"Borussia M.Gladbach, ",22,",  M(C)  ",24(10),2142	,1.8	,1.3	,0.8	,-	,0.7	,0.8	,0.6	,-	,6.74
Aleksandar Pavlovic,"Bayern, ",20,",  DMC  ",14(5),1231	,1.5	,0.9	,1.1	,-	,0.6	,0.8	,0.2	,-	,6.73
Moritz Nicolas,"Borussia M.Gladbach, ",26,",  GK  ",27,2430	,-	,-	,-	,-	,1	,0.1	,-	,-	,6.73
Tuta,"Eintracht Frankfurt, ",25,",  D(C)  ",30,2608	,2.1	,1.2	,1	,0.5	,2.9	,0.7	,0.4	,-	,6.73
Eric Martel,"FC Koln, ",22,",  DMC  ",29(1),2464	,2.3	,1.4	,1.7	,-	,2.7	,1	,0.6	,-	,6.73
Danilho Doekhi,"Union Berlin, ",26,",  D(C)  ",24,2160	,1.4	,1.6	,0.5	,-	,4.3	,0.3	,1	,-	,6.72
Maxence Lacroix,"Wolfsburg, ",24,",  D(C)  ",27(1),2365	,1.7	,0.9	,1	,0.6	,4.1	,0.4	,0.4	,-	,6.71
Romano Schmid,"Werder Bremen, ",24,",  AM(CLR),FW  ",30(3),2617	,1.1	,0.3	,1	,-	,0.4	,1	,0.2	,-	,6.71
Ozan Kabak,"Hoffenheim, ",24,",  D(C)  ",28,2293	,1.7	,1.6	,1.1	,0.5	,3.8	,0.5	,0.8	,-	,6.71
Manu Koné,"Borussia M.Gladbach, ",23,",  DMC  ",18(4),1567	,2	,0.7	,1.3	,-	,0.7	,0.4	,-	,-	,6.70
Ivan Ordets,"Bochum, ",32,",  D(C)  ",21(3),1879	,0.8	,1.3	,1.2	,0.5	,5.3	,0.3	,1.2	,1	,6.70
Jan Schöppner,"FC Heidenheim, ",25,",  M(C)  ",23(3),2002	,1.8	,1	,0.5	,-	,2.1	,0.8	,0.3	,-	,6.70
Ko Itakura,"Borussia M.Gladbach, ",27,",  D(C),DMC  ",18(2),1599	,1.7	,1.1	,1.4	,0.4	,3	,0.5	,0.9	,-	,6.70
Jamie Bynoe-Gittens,"Borussia Dortmund, ",19,",  AM(L)  ",14(11),1061	,0.6	,0.2	,0.5	,-	,0.2	,0.6	,0.1	,-	,6.70
Anthony Caci,"Mainz, ",27,",  D(CLR),M(LR)  ",29(2),2493	,1.8	,1	,1.1	,0.1	,1.3	,0.5	,0.2	,-	,6.70
Kevin Müller,"FC Heidenheim, ",33,",  GK  ",34,3060	,0.1	,-	,-	,-	,0.4	,0.1	,-	,-	,6.70
Felix Uduokhai,"Augsburg, ",26,",  D(C)  ",33,2923	,1.1	,1.4	,0.9	,0.5	,5.3	,0.3	,1.1	,1	,6.69
Farès Chaïbi,"Eintracht Frankfurt, ",21,",  AM(CL),FW  ",21(7),1924	,1	,0.2	,0.5	,-	,0.6	,0.4	,-	,-	,6.69
Niels Nkounkou,"Eintracht Frankfurt, ",23,",  D(L),M(L)  ",13(16),1304	,1.9	,0.6	,0.9	,0.2	,0.8	,1.2	,0.1	,-	,6.69
