Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Ryan Gravenberch,"Liverpool, ",22,",  DMC  ",12(14),1122	,-	,0.6	,19	,83.4	,-	,0.2	,0.1	,6.49
Jóhann Gudmundsson,"Burnley, ",33,",  M(CLR)  ",12(14),1194	,3	,1.3	,17.9	,78.3	,1	,1.1	,0.1	,6.49
Giovani Lo Celso,"Tottenham, ",28,",  M(CR),FW  ",4(18),498	,2	,0.8	,22	,91.5	,0.2	,0.8	,0.1	,6.49
Evan Ferguson,"Brighton, ",19,",  FW  ",15(12),1366	,-	,0.2	,11.1	,81.3	,-	,0.1	,-	,6.49
Neal Maupay,"Brentford, ",27,",  AM(C),FW  ",13(16),1317	,3	,0.5	,12.8	,72.8	,0.1	,0.5	,0.1	,6.48
Jeffrey Schlupp,"Crystal Palace, ",31,",  D(L),M(CLR)  ",17(12),1357	,2	,0.7	,11.1	,75.9	,0.1	,0.2	,-	,6.48
Facundo Buonanotte,"Brighton, ",19,",  AM(CR)  ",17(10),1370	,1	,0.7	,17.4	,85.3	,-	,0.2	,-	,6.47
Keane Lewis-Potter,"Brentford, ",23,",  M(CLR),FW  ",15(15),1442	,1	,0.4	,11.9	,77.4	,0.2	,0.3	,-	,6.47
Philip Billing,"Bournemouth, ",28,",  M(C),FW  ",13(16),1393	,2	,0.8	,17.3	,78.4	,0.2	,0.6	,-	,6.47
Curtis Jones,"Liverpool, ",23,",  AM(CL)  ",14(9),1168	,1	,0.5	,32.6	,91.5	,-	,0.5	,-	,6.47
Jayden Bogle,"Sheff Utd, ",23,",  D(R),M(R)  ",32(2),2795	,-	,0.3	,22.7	,69.7	,0.3	,1	,-	,6.47
Charlie Taylor,"Burnley, ",30,",  D(CL),M(L)  ",25(3),2332	,1	,0.5	,37.2	,78.9	,0.5	,1.8	,-	,6.47
Alex Scott,"Bournemouth, ",20,",  M(CR)  ",11(12),1013	,1	,1	,18.8	,81	,0.3	,0.7	,-	,6.46
Calvin Bassey,"Fulham, ",24,",  D(CL)  ",25(4),2302	,-	,-	,57.5	,86.2	,-	,2.9	,-	,6.46
Álex Moreno,"Aston Villa, ",31,",  D(L),M(L)  ",11(10),1031	,-	,0.5	,19.4	,83.3	,0.2	,0.6	,-	,6.46
Orel Mangala,"Nottingham Forest, ",26,",  M(C)  ",19(1),1571	,-	,0.3	,32.1	,88.6	,0.1	,1.2	,-	,6.45
Wes Foderingham,"Sheff Utd, ",33,",  GK  ",29(1),2648	,-	,-	,31.4	,52.6	,-	,7.6	,-	,6.45
Jacob Brown,"Luton, ",26,",  M(CLR),FW  ",12(7),1020	,-	,0.4	,12.1	,56.3	,0.2	,0.2	,-	,6.45
Jacob Bruun Larsen,"Burnley, ",25,",  AM(CLR),FW  ",16(16),1252	,-	,0.8	,14.3	,76.8	,0.7	,0.4	,-	,6.45
Joel Ward,"Crystal Palace, ",34,",  D(CLR),DMC,M(R)  ",23(3),1982	,1	,0.1	,30.9	,75.7	,0.1	,1.5	,-	,6.45
Sam Johnstone,"Crystal Palace, ",31,",  GK  ",20,1797	,-	,-	,26.6	,52.9	,-	,6.9	,-	,6.44
Mads Roerslev,"Brentford, ",25,",  D(R),M(R)  ",22(12),1985	,2	,0.4	,17.8	,68.9	,0.7	,0.6	,-	,6.44
Frank Onyeka,"Brentford, ",26,",  DMC  ",11(15),1157	,2	,0.5	,14.4	,77.6	,0.2	,0.5	,-	,6.43
Milos Kerkez,"Bournemouth, ",20,",  D(L),M(L)  ",22(6),1976	,1	,0.4	,22.4	,77.2	,0.4	,0.8	,-	,6.42
Cameron Archer,"Sheff Utd, ",22,",  FW  ",21(8),1836	,1	,0.8	,11.3	,80.7	,0.1	,0.1	,-	,6.42
Nayef Aguerd,"West Ham, ",28,",  D(C)  ",21,1859	,-	,0.2	,55.4	,80.5	,-	,5	,-	,6.42
Bobby De Cordova-Reid,"Fulham, ",31,",  D(R),M(CLR),FW  ",17(16),1428	,2	,0.5	,13.4	,79	,0.2	,0.3	,-	,6.41
Mikkel Damsgaard,"Brentford, ",24,",  AM(CL)  ",7(16),834	,2	,0.4	,17.1	,73.6	,0.1	,1	,-	,6.41
Jorginho,"Arsenal, ",32,",  DMC  ",10(14),920	,2	,0.4	,32.2	,90.2	,-	,1.6	,0.2	,6.41
Nathan Patterson,"Everton, ",22,",  D(R),M(R)  ",9(11),1000	,2	,0.4	,20.4	,73	,0.4	,1.4	,0.1	,6.41
Ashley Young,"Everton, ",39,",  D(LR),M(LR)  ",27(4),2291	,-	,0.7	,25	,72.4	,0.8	,1.5	,-	,6.40
Lloyd Kelly,"Bournemouth, ",25,",  D(CL)  ",17(6),1558	,1	,0.4	,33.6	,77.6	,0.2	,2.4	,-	,6.40
Billy Gilmour,"Brighton, ",23,",  DMC  ",24(6),2126	,1	,0.7	,68.8	,92.2	,0.4	,2.1	,0.1	,6.39
Rodrigo Bentancur,"Tottenham, ",27,",  M(C)  ",13(10),1010	,1	,0.3	,34.2	,85.5	,-	,0.9	,0.1	,6.39
James McAtee,"Sheff Utd, ",21,",  AM(CR)  ",20(10),1826	,3	,0.9	,16.3	,72	,0.3	,0.2	,0.1	,6.38
Matt Doherty,"Wolves, ",32,",  D(LR),M(LR)  ",9(21),1144	,-	,0.4	,18.8	,79.3	,-	,1	,-	,6.38
Diego Carlos,"Aston Villa, ",31,",  D(C)  ",20(7),1812	,-	,0.1	,49.6	,88.4	,-	,2.4	,-	,6.36
Christian Eriksen,"Man Utd, ",32,",  M(CLR),FW  ",12(10),1141	,2	,1.2	,34.3	,84.1	,0.5	,1.5	,0.1	,6.36
Moussa Niakhaté,"Nottingham Forest, ",28,",  D(CL)  ",15(6),1459	,-	,0.1	,32.8	,85.5	,-	,1.5	,-	,6.36
Jordan Clark,"Luton, ",30,",  M(CLR)  ",14(9),1307	,1	,0.5	,21	,74.1	,0.3	,1.1	,-	,6.36
Jack Robinson,"Sheff Utd, ",30,",  D(CL),M(L)  ",31(3),2886	,1	,0.4	,31.3	,77.3	,0.1	,2.1	,-	,6.36
Sasa Lukic,"Fulham, ",27,",  M(C)  ",13(11),1120	,-	,0.5	,20.4	,87.5	,-	,0.5	,0.1	,6.36
Tahith Chong,"Luton, ",24,",  AM(CLR),FW  ",20(13),1987	,-	,0.3	,15.2	,81.8	,0.2	,0.5	,0.1	,6.34
Auston Trusty,"Sheff Utd, ",25,",  D(CL)  ",28(4),2573	,-	,0.3	,26.4	,79	,0.1	,1.2	,-	,6.34
Harrison Reed,"Fulham, ",29,",  D(R),M(CR)  ",15(12),1325	,2	,0.5	,26.7	,85.3	,0.1	,0.8	,-	,6.34
Andros Townsend,"Luton, ",32,",  AM(CLR),FW  ",14(13),1210	,3	,0.7	,12.9	,80.2	,0.6	,0.6	,-	,6.34
Carlos Baleba,"Brighton, ",20,",  DMC  ",15(12),1324	,-	,0.3	,28.6	,92.2	,-	,0.7	,-	,6.33
Jhon Durán,"Aston Villa, ",20,",  FW  ",3(20),463	,-	,0.2	,5	,71.1	,-	,-	,-	,6.32
Pierre-Emile Højbjerg,"Tottenham, ",28,",  M(C)  ",8(28),1294	,-	,0.3	,38.4	,88.6	,-	,2.1	,-	,6.32
