Name,Popularity
Marcus Pedersen
Arthur Atta
Castello Lukeba
Emir Karic
Matías Vecino
Teden Mengi
Martin Ødegaard,3
Leroy Sané,3
Timothy Weah
André Silva,2
Yunis Abdelhamid
Stefan Posch
Giulio Maggiore
Ruan Tressoldi
Vitalii Mykolenko
Cheikh Sabaly
Kirian Rodríguez
Danilo dos Santos de Oliveira
Wesley Saïd
Axel Disasi
Harvey Barnes
Dani Olmo,3
Toni Lato
Mark Flekken
Bryan Zaragoza
Nedim Bajrami
Riccardo Calafiori
Íñigo Lekue
Gorka Guruzeta
Marshall Munetsi
Christian Mawissa
Elvis Rexhbeçaj
Kaoru Mitoma
Cyril Ngonge
Andreas Christensen,2
Tahith Chong
Edon Zhegrova
Neil El Aynaoui
Mateo Retegui
Alexander Sørloth,2
Reece Burke
Wout Weghorst
Joseph Okumu
Elia Caprile
Emiliano Martínez
Ilario Monterisi
Alex Scott
Abdoul Kader Bamba
Jhon Durán
Lamine Yamal,4
Moussa Niakhaté
Ivan Provedel
Ederson,3
Matej Maglica
Lautaro Martínez,4
Aleksandar Pavlovic
Jean-Kévin Duverne
Filip Kostic,2
Brendan Chardonnet
Lloyd Kelly
Óliver Torres
Jay Rodríguez
Armand Laurienté
Jhon Lucumí
Tomás Suslov
Edmond Tapsoba
Youssouf Ndayishimiye
Salih Özcan
Guglielmo Vicario
Giovanni Fabbian
Marin Pongracic
Nemanja Maksimovic
Ferran Torres,3
Danilo D'Ambrosio
Nikola Milenkovic
Marcus Rashford,3
Lucas Perrin
Destiny Udogie
Tom Cairney
William Saliba,3
Naouirou Ahamada
Rolando Mandragora
Kiko Femenía
Nahuel Tenaglia
Maxence Caqueret
Álex Moreno
Marius Wolf
Habib Keïta
Nayef Aguerd
Erhan Masovic
Jesús Areso
Ryan Gravenberch
Willi Orbán
Carlton Morris
Gabriel Gudmundsson
Jordan Pickford,2
Eberechi Eze
Sam Johnstone
Nehuén Pérez
Noni Madueke
Grischa Prömel
Grégoire Defrel
Jean-Charles Castelletto
Robert Navarro
Ernest Nuamah
Dwight McNeil
Youssef Maleh
Lucas Torró
Romain Faivre
Michael Gregoritsch
Elbasan Rashani
Martin Erlic
Logan Costa
Mohamed Bayo
Daley Blind
Neto
Gabriele Zappa
Fabian Schär
Fali Candé
Samuele Ricci
Christian Pulisic,2
David Raya
Scott McTominay,2
Brice Samba
Matthijs de Ligt,3
Alexander Isak,2
Diego Carlos
Valentín Carboni
Álex Suárez
Beto
Davie Selke
Takehiro Tomiyasu
Sandro Ramírez
Giacomo Bonaventura
Simone Romagnoli
Frank Onyeka
Harry Kane,4
Antonio Puertas
Omar Mascarell
Jude Bellingham,5
Serhou Guirassy,2
Enzo Fernández
Yuri Berchiche
Iñigo Martínez,2
Andros Townsend
Alex Berenguer
Dodi Lukébakio
Oliver McBurnie
Wataru Endo
Nicola Zalewski
Gabriel Strefezza
Amine Harit
Dan Burn
Son Heung-Min,3
Sergi Canós
Riccardo Orsolini
Jesús Vázquez
Pau Cubarsí,2
Aaron Wan-Bissaka,2
Zeki Amdouni
Ben Osborn
Anthony Caci
Victor Lindelöf
Arne Maier
Nikola Krstovic
Melvin Bard
Christopher Wooh
Brennan Johnson
Andreas Pereira
Justin Kluivert
Jackson Tchatchoua
Paulo Gazzaniga
Walid Cheddira
Paulo Dybala,3
Pervis Estupiñán
Aimar Oroz
Maximilian Mittelstädt
Marc Cardona
Patrick Osterhage
Kevin Strootman
Niclas Füllkrug
João Félix,3
Igor Zubeldia
Sergio Arribas
Dani Carvajal,4
Micky van de Ven
Dani Parejo,2
Antonio Sivera
Berat Djimsiti
Raheem Sterling,3
Jeff Chabot
Ben White
Vladimír Coufal
Carl Starfelt
Djené Dakonam
Federico Chiesa,2
Yan Couto,2
Artem Dovbyk,2
Danilho Doekhi
Sam Beukema
Ko Itakura
Jim Allevinah
Karim Onisiwo
Lorenzo Colombo
Roberto Pereyra
Iago
Marten de Roon
Hamari Traoré
Mathias Pereira Lage
Benjamin Sesko
Wladimiro Falcone
Alban Lafont
Jacob Murphy
Máximo Perrone
Sandi Lovric
Raúl Jiménez
Iván Martín
Jack Grealish,3
Noussair Mazraoui
Jordan Lotomba
Yangel Herrera
Nacho,3
Giovani Lo Celso
Krépin Diatta
Philip Billing
Kim Min-Jae,2
Wilfried Singo
Thomas Delaine
Ozan Kabak
Junior Mwanga
David López
Edimilson Fernandes
Rui Patrício
Álex Remiro
Arnaud Nordin
Michael Zetterer
Lewis Dunk
Luca Waldschmidt
Joris Chotard
Felix Uduokhai
Danny da Costa
Federico Valverde,4
Sergio Camello
Diego López
Alexis Claude-Maurice
Lucas Robertone
Ramon Terrats
Raphaël Guerreiro
Jeong Woo-Yeong
Marcos Senesi
Norman Theuerkauf
Wissam Ben Yedder,2
Alejandro Catena
Fran Pérez
Kiki Kouyaté
Samú Costa
Toni Kroos,5
Danilo Luiz da Silva
Leonardo Spinazzola
Richarlison
Sebastian Walukiewicz
Jonas Wind
Samuele Mulattieri
Jon Moncayola
Evan Ferguson
Alfonso Pedraza
Lee Jae-Sung
Danilo Pereira
Enzo Millot
Ismaily
Yoane Wissa
Michael Olise
Olivier Giroud,3
Calvin Bassey
Abdul Mumin
Ander Barrenetxea
Nicolas Jackson
Kingsley Ehizibue
Morgan Sanson
Joe Gomez
Kevin Sessa
Giacomo Raspadori
Joel Asoro
Jørgen Strand Larsen
Hugo Magnetti
Giangiacomo Magnani
Rodrigo Riquelme
Marco Carnesecchi
Eduardo Camavinga,4
Alberto Dossena
Joselu,3
Gianluca Mancini
Lovro Majer
Florian Pick
Mohamed Salah,4
Álex Sola
David Raum
Dion Beljo
Jaume Costa
Virgil van Dijk,4
Benjamin Henrichs
Vinicius Souza
Iza Carcelén
Mohammed Kudus
Pablo Maffeo
Ablie Jallow
Raúl García Escudero
Nick Woltemade
Matús Bero
Conor Gallagher,3
Yvon Mvogo
Kieran Tierney,2
Chadi Riad
Robin Le Normand,2
Max Wöber
Mário Rui
Leonardo Bittencourt
Ignasi Miquel
Joan González
Maghnes Akliouche
William Carvalho
Matteo Cancellieri
Habib Diarra
Anthony Lopes
Marvin Friedrich
Ante Budimir
José Luís Morales
Unai Gómez
Kevin Kampl
Giovanni Di Lorenzo
Ola Aina
Álex Baena
Noah Atubolu
Kristjan Asllani
Frank Magri
Maxence Lacroix
Yussuf Poulsen
Loïc Badé
Pol Lirola
Ermedin Demirovic
Javi Hernández
Jean-Clair Todibo
Savinho,2
